CAMIS,DBA,CUISINE DESCRIPTION,Latitude, Longitude,AVG_SCORE,AVG_GRADE,ADDRESS,BORO,ZIPCODE,PHONE
40364220,KOSHER BAGEL HOLE,Jewish/Kosher,40.62511113,-73.96203434,3.00,A,1423 AVENUE J Brooklyn 11230,Brooklyn,11230,7182584150
40364296,HAPPY GARDEN,Chinese,40.86364881,-73.89423962,3.00,A,277 EAST KINGSBRIDGE ROAD Bronx 10458,Bronx,10458,7182955588
40364335,PETER LUGER STEAKHOUSE,Steakhouse,40.7099798,-73.96251244,3.00,A,178 BROADWAY Brooklyn 11211,Brooklyn,11211,7183877400
40364347,METROPOLITAN CLUB,American,40.76479552,-73.97230783,3.00,A,1 EAST   60 STREET Manhattan 10022,Manhattan,10022,2128387400
40364373,ISLE OF CAPRI RESTURANT,Italian,40.76270774,-73.96574958,3.00,A,1028 3 AVENUE Manhattan 10065,Manhattan,10065,2127581902
40364389,OLD TOWN BAR & RESTAURANT,American,40.73759507,-73.98964721,3.00,A,45 EAST   18 STREET Manhattan 10003,Manhattan,10003,2125296732
40364439,SEVILLA RESTAURANT,Latin American,40.73490838,-74.00297329,2.40,B+,62 CHARLES STREET Manhattan 10014,Manhattan,10014,2129293189
40364443,CRIMINAL COURT BLDG CAFETERIA,American,40.71607657,-74.0014249,2.50,A,100 CENTRE STREET Manhattan 10013,Manhattan,10013,2129621037
40364449,GOTTSCHEER HALL,German,40.70664797,-73.90573574,3.00,A,657 FAIRVIEW AVENUE Queens 11385,Queens,11385,7183663030
40364467,NYAC MAIN DINING ROOM,American,40.76671822,-73.97873659,3.00,A,180 CENTRAL PARK SOUTH Manhattan 10019,Manhattan,10019,2127677085
40364518,7B BAR,American,40.72498456,-73.98128265,3.00,A,108 AVENUE B Manhattan 10009,Manhattan,10009,2126776742
40364531,CAFE ATELIER (ART STUDENTS LEAGUE),American,40.76588694,-73.98089567,3.00,A,215 WEST   57 STREET Manhattan 10019,Manhattan,10019,2122474510
40364572,DONOHUE'S STEAK HOUSE,Steakhouse,40.76551288,-73.96576979,3.00,A,845 LEXINGTON AVENUE Manhattan 10065,Manhattan,10065,2127440938
40364581,JUNIOR'S,American,40.69020015,-73.9816242,3.00,A,386 FLATBUSH AVENUE EXTENSION Brooklyn 11201,Brooklyn,11201,7188525257
40364715,OLD HOMESTEAD,American,40.74137222,-74.00503776,3.00,A,56 9 AVENUE Manhattan 10011,Manhattan,10011,2122429040
40364744,NEW PARK PIZZERIA & RESTAURANT,Pizza,40.6631017,-73.84083793,3.00,A,156-71 CROSSBAY BOULEVARD Queens 11414,Queens,11414,7186413082
40364858,DOUGLASTON CLUB,American,40.77632972,-73.75283544,3.00,A,600 WEST DRIVE Queens 11363,Queens,11363,7182293900
40364956,THE NEW STARLING ATHLETIC CLUB OF THE BRONX,American,40.83061012,-73.84964668,3.00,A,2222 HAVILAND AVENUE Bronx 10462,Bronx,10462,7188229004
40365075,MCSORLEY'S OLD ALE HOUSE,Irish,40.728584,-73.98953677,3.00,A,15 EAST    7 STREET Manhattan 10003,Manhattan,10003,2122542570
40365120,SOUTH SHORE SWIMMING CLUB,American,40.50806852,-74.22828215,3.00,A,6736 HYLAN BOULEVARD Staten Island 10309,Staten Island,10309,7182274285
40365166,CORNER BISTRO,American,40.73792485,-74.00386112,2.80,A,331 WEST    4 STREET Manhattan 10014,Manhattan,10014,2122429502
40365239,DORRIAN'S RED HAND RESTAURANT,Irish,40.77640497,-73.95280207,3.00,A,1616 2 AVENUE Manhattan 10028,Manhattan,10028,2127726660
40365264,LA GRENOUILLE,French,40.75965816,-73.97597744,3.00,A,3 EAST   52 STREET Manhattan 10022,Manhattan,10022,2127521495
40365387,ARTURO'S,Italian,40.72723405,-74.00051594,3.00,A,106 WEST HOUSTON STREET Manhattan 10012,Manhattan,10012,2126773820
40365499,YANKEE TAVERN,American,40.82755786,-73.9251412,3.00,A,72 EAST  161 STREET Bronx 10451,Bronx,10451,7182926130
40365525,DONUT PUB,Donuts,40.73874834,-74.00014434,2.00,B+,203 WEST   14 STREET Manhattan 10011,Manhattan,10011,6463987007
40365546,REBEN LUNCHEONETTE,Spanish,40.70903995,-73.95915129,2.50,A,229 HAVEMEYER STREET Brooklyn 11211,Brooklyn,11211,7183887696
40365577,V & T RESTAURANT,Italian,40.80332942,-73.96361191,3.00,A,1024 AMSTERDAM AVENUE Manhattan 10025,Manhattan,10025,2126631708
40365627,JAHN'S RESTAURANT,American,40.74965337,-73.88507357,2.00,B+,8104 37 AVENUE Queens 11372,Queens,11372,7186510700
40365632,J&V FAMOUS PIZZA,Pizza,40.61995673,-73.98935214,2.00,B+,6322 18 AVENUE Brooklyn 11204,Brooklyn,11204,7182322700
40365644,JOE ALLEN RESTAURANT,American,40.7601789,-73.98888203,3.00,A,326 WEST   46 STREET Manhattan 10036,Manhattan,10036,2125816464
40365726,BARBETTA RESTAURANT,Italian,0,0,3.00,A,319321 323 W. 46TH ST. Manhattan ,Manhattan,,2122469171
40365784,GARGIULO'S RESTAURANT,Italian,40.57655533,-73.98258432,3.00,A,2911 WEST   15 STREET Brooklyn 11224,Brooklyn,11224,7182664891
40365789,PATSY'S ITALIAN RESTAURANT,Italian,40.7656182,-73.98239751,3.00,A,236 WEST   56 STREET Manhattan 10019,Manhattan,10019,2122473491
40365871,NEARY'S PUB,American,40.75863939,-73.96374832,3.00,A,358 EAST   57 STREET Manhattan 10022,Manhattan,10022,2127511434
40365882,NEW YORK PIZZA SUPREMA,Pizza,40.75003195,-73.99504099,2.33,B+,413 8 AVENUE Manhattan 10001,Manhattan,10001,2125948939
40365904,MEE SUM CAFE,Coffee/Tea,40.71486063,-73.99819997,1.00,C,26 PELL STREET Manhattan 10013,Manhattan,10013,2123495260
40365942,HOP KEE RESTAURANT,Chinese,40.71436383,-73.99878436,2.44,B+,21 MOTT STREET Manhattan 10013,Manhattan,10013,2129648365
40365968,NANCY WHISKEY PUB,American,40.72053946,-74.00501092,3.00,A,1 LISPENARD STREET Manhattan 10013,Manhattan,10013,2122269943
40365972,BLARNEY BAR,American,40.70180334,-73.80867561,3.00,A,14609 JAMAICA AVENUE Queens 11435,Queens,11435,7185231983
40366002,MARGHERITA PIZZA,Pizza,40.70466771,-73.79682288,3.00,A,16304 JAMAICA AVENUE Queens 11432,Queens,11432,7186575780
40366109,FIFTH AVENUE BINGO,American,40.67003759,-73.98559148,2.00,B+,416 5 AVENUE Brooklyn 11215,Brooklyn,11215,7187881691
40366132,DENINO'S PIZZERIA TAVERN,Pizza,40.63002441,-74.14016887,3.00,A,524 PORT RICHMOND AVENUE Staten Island 10302,Staten Island,10302,7184429401
40366154,MICHAEL'S RESTAURANT,Italian,40.60741859,-73.94300363,3.00,A,2929 AVENUE R Brooklyn 11229,Brooklyn,11229,7189987851
40366222,KILLARNEY ROSE,Irish,40.70533871,-74.00869226,3.00,A,80 BEAVER STREET Manhattan 10005,Manhattan,10005,2124221486
40366230,DON PEPPE,Italian,40.67025824,-73.82097608,2.00,B+,13558 LEFFERTS BOULEVARD Queens 11420,Queens,11420,7188457587
40366356,BLARNEY CASTLE,American,40.56077579,-73.9117834,3.00,A,20224 ROCKAWAY POINT BOULEVARD Queens 11697,Queens,11697,7186344503
40366471,ROLL-N-ROASTER,American,40.58386661,-73.93969006,3.00,A,2901 EMMONS AVENUE Brooklyn 11235,Brooklyn,11235,7187695831
40366473,TIO PEPE,Seafood,40.7320566,-74.00144328,3.00,A,168 WEST    4 STREET Manhattan 10014,Manhattan,10014,2122429338
40366487,BRENNAN & CARR,American,40.60038588,-73.94189333,3.00,A,3432 NOSTRAND AVENUE Brooklyn 11229,Brooklyn,11229,7187691254
40366543,JARDIN DE CHINA REST,Chinese,40.7507548,-73.87036048,2.25,B+,3737 JUNCTION BOULEVARD Queens 11368,Queens,11368,7184763755
40366574,BLARNEY STONE,Irish,40.70652394,-74.01384656,3.00,A,11 TRINITY PLACE Manhattan 10006,Manhattan,10006,6466698197
40366652,FASCATI'S PIZZERIA,Pizza,40.69844393,-73.99254562,3.00,A,80 HENRY STREET Brooklyn 11201,Brooklyn,11201,7182371278
40366711,LI GRECI'S STAATEN RESTAURANT,American,40.62947594,-74.11233734,2.50,A,697 FOREST AVENUE Staten Island 10310,Staten Island,10310,7184486000
40366716,SHUN LEE PALACE RESTAURANT,Chinese,40.75937665,-73.96948371,3.00,A,155 EAST   55 STREET Manhattan 10022,Manhattan,10022,2123718844
40366742,TAMAQUA,Bottled Beverages,40.59435177,-73.93015661,2.50,A,84 EBONY COURT Brooklyn 11229,Brooklyn,11229,7186469212
40366928,RICHMOND COUNTY COUNTRY CLUB,American,40.5879359,-74.10407271,3.00,A,135 FLAGG PLACE Staten Island 10304,Staten Island,10304,7183510600
40366938,LULU'S COFFEE SHOP,Coffee/Tea,40.83170704,-73.85099931,1.50,B-,1191 CASTLE HILL AVENUE Bronx 10462,Bronx,10462,7188223568
40366961,MITCHELL'S RESTAURANT,Soul Food,40.67885037,-73.96841748,3.00,A,617A VANDERBILT AVENUE Brooklyn 11238,Brooklyn,11238,7187893212
40367005,DA VINCI PIZZA,Pizza,40.61897968,-73.99034286,3.00,A,6514 18 AVENUE Brooklyn 11204,Brooklyn,11204,7182325855
40367038,MEXICO LINDO RESTAURANT,Mexican,40.73964407,-73.97961494,3.00,A,459 2 AVENUE Manhattan 10010,Manhattan,10010,2126793665
40367161,MARINA DEL REY,American,40.81453855,-73.81505544,3.00,A,2894 SCHURZ AVENUE Bronx 10465,Bronx,10465,7189316500
40367189,BROOME STREET BAR,American,40.72311686,-74.00312428,3.00,A,363 WEST BROADWAY Manhattan 10013,Manhattan,10013,2129252086
40367232,O'HANLON'S PUB,Irish,40.77494827,-73.9121196,3.00,A,2257 31 STREET Queens 11105,Queens,11105,7187289619
40367240,CHARLIES SPORTS BAR,Bottled Beverages,40.74201053,-73.90448019,3.00,A,4408 60TH ST Queens 11377,Queens,11377,7184781903
40367241,JG MELON RESTAURANT,American,40.7711925,-73.95953182,3.00,A,1291 3 AVENUE Manhattan 10021,Manhattan,10021,2127440585
40367339,COCKTAIL ROOM (NYAC),American,40.76671822,-73.97873659,3.00,A,180 CENTRAL PARK SOUTH Manhattan 10019,Manhattan,10019,2127677000
40367365,THE FLAME DINER,American,40.76843198,-73.98534267,3.00,A,893 9 AVENUE Manhattan 10019,Manhattan,10019,2127657962
40367373,JACKSON HOLE,Hamburgers,40.76430997,-73.96345643,3.00,A,232 EAST   64 STREET Manhattan 10065,Manhattan,10065,2123717187
40367377,ZUM STAMMTISCH,German,40.7018689,-73.88159658,3.00,A,6946 MYRTLE AVENUE Queens 11385,Queens,11385,7183863014
40367442,BUDDY'S WONDER BAR,American,40.63675542,-74.13493705,3.00,A,17 HARRISON AVENUE Staten Island 10302,Staten Island,10302,7184429768
40367728,MIMIS RESTAURANT & BAR,Italian,40.7562169,-73.96752881,3.00,A,984 SECOND AVENUE Manhattan 10022,Manhattan,10022,2126884692
40367749,LENNY'S CLAM BAR,Seafood,40.65555094,-73.83896749,3.00,A,16103 CROSSBAY BOULEVARD Queens 11414,Queens,11414,7188455100
40367752,GRIFFIS FACULTY CLUB,American,40.76415611,-73.95528359,3.00,A,521 EAST   68 STREET Manhattan 10065,Manhattan,10065,6469623939
40367789,DANI PIZZA AND RESTAURANT,Pizza,40.70886695,-73.83043401,3.00,A,8128 LEFFERTS BOULEVARD Queens 11415,Queens,11415,7188462849
40367790,MCDONALD'S,Hamburgers,40.64872319,-73.95829825,3.00,A,943 FLATBUSH AVENUE Brooklyn 11226,Brooklyn,11226,7186935353
40367841,CAFE FIORELLO,Italian,40.77151115,-73.98215045,3.00,A,1900 BROADWAY Manhattan 10023,Manhattan,10023,2125955330
40367860,L&B SPUMONI GARDENS,Pizza,40.59439352,-73.981359,3.00,A,2725 86 STREET Brooklyn 11223,Brooklyn,11223,7184491230
40367870,AMORE PIZZERIA & RESTAURANT,Pizza,40.76965881,-73.83469397,3.00,A,3027 STRATTON STREET Queens 11354,Queens,11354,7184450579
40368018,THE PATIO,American,40.85053675,-73.88245508,3.00,A,2300 SOUTHERN BOULEVARD Bronx 10460,Bronx,10460,7182205069
40368021,ZOO BREWS-BRONX ZOO,American,40.85053675,-73.88245508,3.00,A,2300 SOUTHERN BOULEVARD Bronx 10460,Bronx,10460,7182207937
40368022,GRIZZLY GROUNDS,Coffee/Tea,40.85053675,-73.88245508,3.00,A,2300 SOUTHERN BOULEVARD Bronx 10460,Bronx,10460,3474468151
40368026,SOMBA VILLAGE (BABOON CAFE),African,40.85053675,-73.88245508,3.00,A,2300 SOUTHERN BOULEVARD Bronx 10460,Bronx,10460,7187418295
40368034,ROADHOUSE RESTAURANT,Italian,40.61336685,-74.10045673,3.00,A,1402 CLOVE ROAD Staten Island 10301,Staten Island,10301,7184470033
40368157,ELEPHANT & CASTLE,American,40.73631373,-74.0009418,3.00,A,68 GREENWICH AVENUE Manhattan 10011,Manhattan,10011,2122431400
40368207,MILL BASIN KOSHER DELI,Jewish/Kosher,40.61531418,-73.91841052,3.00,A,5823 AVENUE T Brooklyn 11234,Brooklyn,11234,7182414910
40368223,OYSTER BAR,Seafood,40.75251382,-73.97730464,3.00,A,0 GRAND CENTRAL TERMINAL Manhattan 10017,Manhattan,10017,2124906650
40368271,CHERRY TAVERN,Bottled Beverages,40.72599521,-73.9851969,3.00,A,441 EAST    6 STREET Manhattan 10009,Manhattan,10009,2127771448
40368291,COLONNADE DINER,American,40.58116391,-74.09854329,3.00,A,2001 HYLAN BOULEVARD Staten Island 10306,Staten Island,10306,7183512900
40368313,RED FLAME DINER,American,40.7556272,-73.98193815,3.00,A,67 WEST   44 STREET Manhattan 10036,Manhattan,10036,2128693965
40368318,MAGGIE'S PLACE,American,40.75615888,-73.97738641,3.00,A,21 EAST   47 STREET Manhattan 10017,Manhattan,10017,2127535757
40368374,JIMMY'S CORNER,American,40.75661292,-73.984331,3.00,A,140 WEST   44 STREET Manhattan 10036,Manhattan,10036,2122219510
40368632,NEW PARKWAY RESTAURANT,American,40.62019578,-74.00754646,2.75,A,7504 13 AVENUE Brooklyn 11228,Brooklyn,11228,7187454371
40368725,CAFE RIAZOR,Spanish,40.74043912,-74.00002526,3.00,A,245 WEST   16 STREET Manhattan 10011,Manhattan,10011,2127272132
40368801,MARBELLA RESTAURANT,Latin American,40.76160163,-73.76075972,3.00,A,22033 NORTHERN BOULEVARD Queens 11361,Queens,11361,7184230100
40368824,DOUBLES CLUB,American,40.76453215,-73.97280973,3.00,A,783 5 AVENUE Manhattan 10022,Manhattan,10022,2127519595
40368897,HATSUHANA RESTAURANT,Japanese,40.75689169,-73.9771732,3.00,A,17 EAST   48 STREET Manhattan 10017,Manhattan,10017,2123553345
40369012,VALENTINO'S PIZZA,Pizza,40.72852873,-73.81507497,3.00,A,7147 KISSENA BOULEVARD Queens 11367,Queens,11367,7185916464
40369016,VIAND COFFEE SHOP,Greek,40.76492405,-73.97041615,3.00,A,673 MADISON AVENUE Manhattan 10065,Manhattan,10065,2127516622
40369051,STEVE'S COFFEE SHOP,American,40.76174641,-73.80380277,3.00,A,4034 162 ST Queens 11358,Queens,11358,7184456691
40369158,JODY'S CLUB,American,40.63100906,-74.10189565,3.00,A,372 FOREST AVENUE Staten Island 10301,Staten Island,10301,7187276338
40369165,REIF'S TAVERN,American,40.78151114,-73.9485773,2.00,B+,302 EAST   92 STREET Manhattan 10128,Manhattan,10128,2124260519
40369262,JOHN'S PIZZERIA,Pizza,40.73492185,-73.88201393,3.00,A,8502 GRAND AVENUE Queens 11373,Queens,11373,7184577561
40369299,SEASHORE RESTAURANT,Seafood,40.85411693,-73.79057359,3.00,A,591 CITY ISLAND AVENUE Bronx 10464,Bronx,10464,7188850300
40369418,CAFFE REGGIO,Italian,40.73020663,-74.00031751,3.00,A,119 MAC DOUGAL STREET Manhattan 10012,Manhattan,10012,2124759557
40369461,CAFE UN DEUX TROIS,French,40.75648387,-73.9839773,1.57,B-,123 WEST   44 STREET Manhattan 10036,Manhattan,10036,2123544148
40369482,ARMANDO'S PIZZA,Pizza,40.64798374,-73.88192681,3.00,A,1366 PENNSYLVANIA AVENUE Brooklyn 11239,Brooklyn,11239,7186428253
40369521,KNICKERBOCKER BAR & GRILL,American,40.73196864,-73.99445059,3.00,A,33 UNIVERSITY PLACE Manhattan 10003,Manhattan,10003,2122288490
40369608,THE RIVER CAFE,American,40.70295918,-73.99433761,3.00,A,1 WATER STREET Brooklyn 11201,Brooklyn,11201,7185225200
40369619,MUDVILLE9,American,40.71529947,-74.00879097,3.00,A,126 CHAMBERS STREET Manhattan 10007,Manhattan,10007,2129649464
40369641,JOHNNY'S REEF RESTAURANT,Seafood,40.83766442,-73.78289894,3.00,A,2 CITY ISLAND AVENUE Bronx 10464,Bronx,10464,7188852086
40369667,WHITE CASTLE,Hamburgers,40.6634914,-73.93226465,3.00,A,846 EMPIRE BOULEVARD Brooklyn 11213,Brooklyn,11213,7187563377
40369669,WHITE CASTLE,Hamburgers,40.86562407,-73.86225393,3.00,A,2701 BOSTON POST ROAD Bronx 10467,Bronx,10467,7182314978
40369675,WHITE CASTLE,Hamburgers,40.74345059,-73.92132771,3.00,A,4302 QUEENS BOULEVARD Queens 11104,Queens,11104,7187862475
40369716,FERDINANDO'S RESTAURANT,Italian,40.68412467,-74.0020624,3.00,A,151 UNION STREET Brooklyn 11231,Brooklyn,11231,7188551545
40369878,VILLA MOSCONI RESTAURANT,Italian,40.7285378,-74.00173184,2.00,B+,69 MACDOUGAL STREET Manhattan 10012,Manhattan,10012,2126730390
40369958,SPARKS STEAK HOUSE,Steakhouse,40.75309731,-73.97209616,3.00,A,210 EAST   46 STREET Manhattan 10017,Manhattan,10017,2126874855
40369983,THE DART SPORTS BAR,American,40.71527033,-73.80769891,2.33,B+,83-18 PARSONS BOULEVARD Queens 11432,Queens,11432,7182911894
40370015,BAMONTE'S RESTAURANT,Italian,40.71672774,-73.95134022,3.00,A,32 WITHERS STREET Brooklyn 11211,Brooklyn,11211,7183848831
40370150,JOHN MULLIGAN'S FIRESIDE PUB,American,40.89778438,-73.86721861,3.00,A,4272 KATONAH AVENUE Bronx 10470,Bronx,10470,3473468001
40370167,BURGER KING,Hamburgers,40.76185912,-73.75919934,3.00,A,22210 NORTHERN BOULEVARD Queens 11361,Queens,11361,7182251695
40370168,EAR INN,American,40.72599304,-74.00930109,1.00,C,326 SPRING STREET Manhattan 10013,Manhattan,10013,2122269060
40370436,ROSSINI'S,Italian,40.74934943,-73.97894066,3.00,A,108 EAST   38 STREET Manhattan 10016,Manhattan,10016,2126830135
40370463,THREE GUY'S RESTAURANT,American,40.77397438,-73.96384104,3.00,A,960 MADISON AVENUE Manhattan 10021,Manhattan,10021,2126288108
40370507,THE PLAYERS,American,40.7377759,-73.98648252,3.00,A,16 GRAMERCY PARK SOUTH Manhattan 10003,Manhattan,10003,2124756116
40370766,SMITH & WOLLENSKY,American,40.75505127,-73.97087534,3.00,A,201 EAST   49 STREET Manhattan 10017,Manhattan,10017,2127531530
40370781,MCDONALD'S,Hamburgers,40.78061912,-73.80203901,3.00,A,16011 WILLETS POINT BOULEVARD Queens 11357,Queens,11357,7187466063
40370939,MANDUCATIS,Italian,40.74446803,-73.94890554,3.00,A,1327 JACKSON AVENUE Queens 11101,Queens,11101,7187294602
40371614,LA BARAKA RESTAURANT,French,40.77203399,-73.73432653,3.00,A,255-09 NORTHERN BOULEVARD Queens 11362,Queens,11362,7184281461
40371684,LIBERMAN'S LUNCHEONETTE,Jewish/Kosher,40.63150355,-73.98500899,3.00,A,4801 16 AVENUE Brooklyn 11204,Brooklyn,11204,7188518696
40371718,ZAFI'S LUNCHEONETTE,Coffee/Tea,40.71473855,-73.98260579,3.00,A,500 GRAND STREET Manhattan 10002,Manhattan,10002,2125332415
40371727,LA PALINA RESTAURANT,Italian,40.61077672,-73.97886929,1.50,B-,159 AVENUE O Brooklyn 11204,Brooklyn,11204,7182369764
40371805,TY'S,Bottled Beverages,40.73319281,-74.00547734,3.00,A,114 CHRISTOPHER STREET Manhattan 10014,Manhattan,10014,2127419641
40371988,NORTH SHORE DINER,American,40.75784728,-73.78456423,2.67,A,19652 NORTHERN BLVD Queens 11358,Queens,11358,7182258000
40372196,MCDONALD'S,Hamburgers,40.82757806,-73.82327208,3.00,A,3660 EAST TREMONT AVENUE Bronx 10465,Bronx,10465,7188221040
40372357,MARINA CAFE,Italian,40.54430093,-74.14090586,3.00,A,154 MANSION AVENUE Staten Island 10308,Staten Island,10308,7189673077
40372417,DON FILIPPO RESTAURANT,Italian,40.77464251,-73.95910728,3.00,A,1133 LEXINGTON AVENUE Manhattan 10075,Manhattan,10075,2127443610
40372422,BURGER KING,Hamburgers,40.73177314,-73.86656565,3.00,A,9283 QUEENS BOULEVARD Queens 11374,Queens,11374,7185750116
40372445,OMONIA CAFE,Greek,40.76147748,-73.92436023,2.00,B+,32-20 BROADWAY Queens 11106,Queens,11106,7182746650
40372596,TROPICAL HOUSE BAKING CO.,Bakery Products/Desserts,40.66943476,-73.93383029,3.00,A,267 SCHENECTADY AVENUE Brooklyn 11213,Brooklyn,11213,7187739523
40372618,BURGER KING,Hamburgers,40.66793532,-73.78098428,3.00,A,154-05 ROCKAWAY BOULEVARD Queens 11434,Queens,11434,7185275044
40372631,YANKEE JZ PIZZA,Pizza,40.82917833,-73.87570682,3.00,A,1599 WESTCHESTER AVENUE Bronx 10472,Bronx,10472,7183284349
40372971,RACQUET & TENNIS CLUB,American,40.75879835,-73.97281208,3.00,A,370 PARK AVENUE Manhattan 10022,Manhattan,10022,2127539700
40373113,ASTRO RESTAURANT,American,40.76313625,-73.97839841,2.50,A,101 WEST   55 STREET Manhattan 10019,Manhattan,10019,2124896284
40373118,GOLDEN DOVE DINER,American,40.55901275,-74.1694397,3.00,A,3281 RICHMOND AVENUE Staten Island 10312,Staten Island,10312,7189671900
40373160,KORNER PIZZERIA,Pizza,40.64337635,-73.97802655,3.00,A,226 CHURCH AVENUE Brooklyn 11218,Brooklyn,11218,7188533755
40373462,VILLA BERULIA,Italian,40.74686575,-73.98082174,3.00,A,107 EAST   34 STREET Manhattan 10016,Manhattan,10016,2126891970
40373500,VICTOR'S CAFE,Latin American,40.76296148,-73.983853,3.00,A,236 WEST   52 STREET Manhattan 10019,Manhattan,10019,2125867714
40373597,PETE'S PIZZERIA & RESTAURANT,Pizza,40.63124038,-74.02788872,3.00,A,7522 3 AVENUE Brooklyn 11209,Brooklyn,11209,7187455442
40373888,IL MULINO,Italian,40.72984432,-73.99896087,3.00,A,86 WEST    3 STREET Manhattan 10012,Manhattan,10012,2126733783
40373909,MCDONALD'S,Hamburgers,40.64491615,-73.92158848,3.00,A,5804 CLARENDON ROAD Brooklyn 11203,Brooklyn,11203,7184510834
40373912,THE MALT HOUSE,American,40.72878759,-73.99935056,3.00,A,206 THOMPSON STREET Manhattan 10012,Manhattan,10012,2122287701
40373937,SHUN LEE,Chinese,40.7722739,-73.9803631,3.00,A,37 WEST   65 STREET Manhattan 10023,Manhattan,10023,2125958895
40374136,TONY'S PIER RESTAURANT,Seafood,40.83765897,-73.78292064,3.00,A,1 CITY ISLAND AVENUE Bronx 10464,Bronx,10464,7188851424
40374192,ELIO'S,Italian,40.77670406,-73.95260688,3.00,A,1621 SECOND AVENUE Manhattan 10028,Manhattan,10028,2127722242
40374277,THE MOLLY WEE PUB,Irish,40.74975474,-73.99522147,3.00,A,402 8 AVENUE Manhattan 10001,Manhattan,10001,2129672627
40374395,EL CARIBE,Italian,40.60865231,-73.91428056,3.00,A,5945 STRICKLAND AVENUE Brooklyn 11234,Brooklyn,11234,7185311200
40374415,OMEN AZEN,Japanese,40.72582323,-74.00185083,3.00,A,113 THOMPSON STREET Manhattan 10012,Manhattan,10012,2129258923
40374834,CASA BELLA,Italian,40.71799515,-73.99803755,3.00,A,127 MULBERRY STREET Manhattan 10013,Manhattan,10013,2124314080
40374974,CHEZ NAPOLEON,French,40.76320356,-73.98827145,3.00,A,365 WEST   50 STREET Manhattan 10019,Manhattan,10019,2122656980
40375286,LA VILLA DE PIZZA & RESTAURANT,Pizza,40.66608921,-73.85195825,3.00,A,8207 153 AVENUE Queens 11414,Queens,11414,7186418259
40375369,OZONE PIZZERIA,Pizza,40.68068177,-73.84263818,3.00,A,9615 LIBERTY AVENUE Queens 11417,Queens,11417,7188459555
40375616,ARTURO'S,Italian,40.77545297,-73.94747716,3.00,A,1617 YORK AVENUE Manhattan 10028,Manhattan,10028,2125354480
40375699,GENE'S RESTURANT,Italian,40.73493583,-73.99718548,3.00,A,73 WEST   11 STREET Manhattan 10011,Manhattan,10011,2126752048
40376077,FONTANA FAMOUS PIZZA & GYRO,Greek,40.75771554,-73.78310999,1.00,C,20002 NORTHERN BOULEVARD Queens 11361,Queens,11361,7186310147
40376142,LUSARDI'S RESTAURANT,Italian,40.7725058,-73.95564623,3.00,A,1494 SECOND AVENUE Manhattan 10075,Manhattan,10075,2122492020
40376204,PORTOFINO,Italian,40.71874857,-73.84029328,2.33,B+,109-32 ASCAN AVENUE Queens 11375,Queens,11375,7182611239
